,0
533,1
534,1
535,1
536,0
537,2
538,0
539,2
540,1
541,2
542,0
543,1
544,2
545,0
546,2
547,1
548,0
549,2
550,3
551,3
552,2
553,1
554,0
555,1
556,2
557,3
558,3
559,1
560,2
561,1
562,2
563,0
564,1
565,0
566,0
567,2
568,0
569,3
570,0
571,2
572,0
573,3
574,0
575,0
576,3
577,3
578,0
579,0
580,0
581,3
582,2
583,2
584,2
585,3
586,2
587,1
588,2
589,2
590,2
591,2
592,3
593,1
594,1
595,0
596,3
597,2
598,2
599,2
600,3
601,2
602,0
603,2
604,0
605,2
606,2
607,3
608,3
609,0
610,3
611,2
612,2
613,2
614,1
615,3
616,3
617,0
618,1
619,2
620,1
621,3
622,3
623,2
624,1
625,0
626,2
627,2
628,3
629,2
630,1
631,0
632,3
633,2
634,1
635,2
636,0
637,2
638,3
639,0
640,2
641,2
642,0
643,1
644,0
645,2
646,0
647,0
648,2
649,0
650,3
651,0
652,0
653,3
654,2
655,3
656,2
657,0
658,3
659,1
660,2
661,3
662,2
663,1
664,3
665,3
666,1
667,0
668,3
669,0
670,2
671,2
672,2
673,3
674,3
675,0
676,3
677,2
678,0
679,2
680,3
681,0
682,1
683,0
684,3
685,0
686,0
687,0
688,3
689,1
690,2
691,3
692,2
693,3
694,2
695,0
696,0
697,1
698,2
699,3
700,3
701,2
702,0
703,0
704,2
705,1
706,2
707,3
708,2
709,0
710,2
711,2
712,2
713,3
714,2
715,0
716,3
717,2
718,3
719,1
720,1
721,1
722,3
723,3
724,2
725,2
726,2
727,2
728,0
729,1
730,2
731,3
732,3
733,0
734,0
735,3
736,0
737,3
738,3
739,2
740,2
741,0
742,3
743,2
744,2
745,0
746,3
747,1
748,1
749,1
750,2
751,3
752,2
753,2
754,1
755,1
756,1
757,2
758,1
759,0
760,2
761,2
762,3
763,0
764,0
765,3
766,1
767,2
768,2
769,1
770,0
771,0
772,3
773,2
774,2
775,1
776,0
777,2
778,0
779,2
780,1
781,0
782,1
783,1
784,2
785,2
786,3
787,1
788,2
789,2
790,0
791,1
792,0
793,1
794,0
795,0
796,3
797,3
798,1
799,1
800,0
801,1
802,1
803,3
804,1
805,0
806,0
807,2
808,2
809,3
810,3
811,0
812,0
813,0
814,0
815,2
816,1
817,3
818,2
819,0
820,3
821,3
822,1
823,3
824,0
825,1
826,1
827,1
828,1
829,2
830,0
831,1
832,3
833,0
834,0
835,1
836,1
837,3
838,1
839,3
840,2
841,0
842,2
843,1
844,1
845,3
846,2
847,2
848,3
849,0
850,3
851,2
852,2
853,3
854,3
855,3
856,2
857,2
858,3
859,2
860,2
861,3
862,1
863,1
864,3
865,2
866,3
867,0
868,0
869,0
870,2
871,1
872,0
873,3
874,0
875,3
876,0
877,3
878,2
879,0
880,3
881,2
882,2
883,0
884,3
885,1
886,0
887,3
888,0
889,3
890,2
891,0
892,2
893,2
894,2
895,0
896,0
897,0
898,0
899,3
900,0
901,2
902,2
903,2
904,3
905,1
906,1
907,0
908,2
909,2
910,3
911,0
912,0
913,0
914,2
915,2
916,1
917,3
918,2
919,2
920,3
921,3
922,0
923,3
924,3
925,3
926,1
927,3
928,3
929,1
930,2
931,2
932,3
933,2
934,0
935,1
936,3
937,1
938,3
939,0
940,2
941,3
942,3
943,3
944,1
945,3
946,1
947,1
948,3
949,2
950,3
951,1
952,0
953,0
954,0
955,2
956,0
957,2
958,3
959,0
960,3
961,3
962,3
963,2
964,1
965,1
966,2
967,3
968,2
969,1
970,1
971,0
972,2
973,0
974,2
975,3
976,1
977,2
978,2
979,2
980,1
981,2
982,1
983,1
984,0
985,3
986,0
987,0
988,0
989,2
990,1
991,3
992,2
993,0
994,1
995,2
996,3
997,0
998,3
999,2
1000,1
1001,0
1002,0
1003,2
1004,2
1005,0
1006,2
1007,1
1008,3
1009,2
1010,1
1011,3
1012,3
1013,2
1014,2
1015,2
1016,1
1017,2
1018,0
1019,0
1020,2
1021,3
1022,1
1023,3
1024,1
1025,0
1026,3
1027,2
1028,2
1029,0
1030,0
1031,0
1032,0
1033,2
1034,0
1035,1
1036,2
1037,1
1038,0
1039,1
1040,2
1041,3
1042,1
1043,0
1044,3
1045,0
1046,2
1047,2
1048,1
1049,3
1050,2
1051,0
1052,2
1053,1
1054,3
1055,0
1056,2
1057,3
1058,1
1059,3
1060,3
1061,3
1062,3
1063,0
1064,1
1065,1
1066,0
1067,0
1068,0
1069,0
1070,2
1071,1
1072,3
1073,3
1074,2
1075,2
1076,2
1077,2
1078,1
1079,2
1080,1
1081,3
1082,2
1083,0
1084,1
1085,2
1086,1
1087,2
1088,1
1089,0
1090,3
1091,2
1092,0
1093,2
1094,0
1095,0
1096,0
1097,0
1098,3
1099,3
1100,0
1101,1
1102,2
1103,3
1104,3
1105,0
1106,1
1107,1
1108,1
1109,0
1110,3
1111,0
1112,1
1113,3
1114,2
1115,2
1116,0
1117,2
1118,1
1119,0
1120,0
1121,3
1122,1
1123,1
1124,3
1125,2
1126,2
1127,2
1128,3
1129,2
1130,1
1131,0
1132,3
1133,3
1134,1
1135,3
1136,3
1137,0
1138,1
1139,3
1140,0
1141,3
1142,1
1143,0
1144,1
1145,2
1146,3
1147,1
1148,3
1149,1
1150,2
1151,0
1152,2
1153,3
1154,0
1155,1
1156,1
1157,3
1158,0
1159,1
1160,0
1161,1
1162,1
1163,1
1164,0
1165,3
1166,2
1167,1
1168,0
1169,3
1170,3
1171,2
1172,0
1173,2
1174,1
1175,2
1176,2
1177,0
1178,3
1179,3
1180,0
1181,1
1182,0
1183,2
1184,3
1185,2
1186,3
1187,0
1188,0
1189,0
1190,2
1191,1
1192,2
1193,3
1194,3
1195,1
1196,0
1197,3
1198,0
1199,2
1200,0
1201,3
1202,0
1203,2
1204,2
1205,1
1206,1
1207,0
1208,3
1209,1
1210,2
1211,2
1212,1
1213,0
1214,1
1215,0
1216,0
1217,3
1218,0
1219,2
1220,0
1221,1
1222,3
1223,1
1224,3
1225,0
1226,1
1227,1
1228,3
1229,1
1230,1
1231,3
1232,3
1233,1
1234,1
1235,1
1236,0
1237,2
1238,2
1239,2
1240,0
1241,0
1242,3
1243,0
1244,3
1245,1
1246,1
1247,0
1248,1
1249,3
1250,2
1251,3
1252,3
1253,0
1254,0
1255,2
1256,3
1257,0
1258,0
1259,0
1260,2
1261,3
1262,2
1263,2
1264,1
1265,3
1266,2
1267,0
1268,1
1269,3
1270,1
1271,3
1272,0
1273,0
1274,3
1275,1
1276,0
1277,0
1278,3
1279,1
1280,3
1281,2
1282,3
1283,1
1284,0
1285,2
1286,3
1287,2
1288,1
1289,0
1290,1
1291,2
1292,3
1293,1
1294,3
1295,0
1296,0
1297,0
1298,2
1299,1
1300,0
1301,3
1302,0
1303,2
1304,0
1305,1
1306,3
1307,2
1308,0
1309,0
1310,1
1311,2
1312,2
1313,2
1314,1
1315,0
1316,3
1317,2
1318,2
1319,3
1320,0
1321,3
1322,3
1323,0
1324,3
1325,2
1326,0
1327,3
1328,0
1329,3
1330,3
1331,3
1332,1
1333,0
1334,0
1335,2
1336,3
1337,3
1338,1
1339,3
1340,3
1341,2
1342,3
1343,1
1344,1
1345,0
1346,1
1347,2
1348,0
1349,3
1350,3
1351,0
1352,0
1353,1
1354,1
1355,3
1356,3
1357,3
1358,3
1359,3
1360,1
1361,2
1362,0
1363,0
1364,1
1365,3
1366,1
1367,1
1368,3
1369,2
1370,1
1371,1
1372,0
1373,0
1374,1
1375,2
1376,1
1377,0
1378,0
1379,2
1380,2
1381,2
1382,1
1383,0
1384,0
1385,1
1386,3
1387,0
1388,0
1389,0
1390,3
1391,3
1392,2
1393,2
1394,1
1395,1
1396,3
1397,0
1398,3
1399,3
1400,1
1401,2
1402,3
1403,0
1404,3
1405,3
1406,2
1407,2
1408,0
1409,1
1410,3
1411,0
1412,2
1413,2
1414,3
1415,0
1416,0
1417,1
1418,2
1419,0
1420,1
1421,2
1422,2
1423,1
1424,2
1425,2
1426,2
1427,1
1428,2
1429,3
1430,0
1431,0
1432,0
1433,0
1434,0
1435,2
1436,3
1437,2
1438,3
1439,2
1440,1
1441,0
1442,3
1443,3
1444,0
1445,3
1446,0
1447,0
1448,0
1449,3
1450,1
1451,0
1452,0
1453,0
1454,0
1455,3
1456,0
1457,2
1458,3
1459,0
1460,2
1461,1
1462,1
1463,2
1464,3
1465,0
1466,2
1467,1
1468,0
1469,2
1470,3
1471,1
1472,1
1473,3
1474,0
1475,3
1476,2
1477,1
1478,0
1479,2
1480,0
1481,1
1482,3
1483,2
1484,2
1485,1
1486,0
1487,3
1488,1
1489,2
1490,2
1491,2
1492,2
1493,1
1494,0
1495,1
1496,1
1497,3
1498,0
1499,1
1500,3
1501,3
1502,0
1503,0
1504,2
1505,2
1506,3
1507,0
1508,2
1509,0
1510,3
1511,3
1512,0
1513,0
1514,2
1515,0
1516,0
1517,1
1518,1
1519,1
1520,1
1521,1
1522,1
1523,2
1524,1
1525,1
1526,1
1527,1
1528,2
1529,3
1530,1
1531,1
1532,1
1533,3
1534,2
1535,0
1536,2
1537,2
1538,3
1539,3
1540,3
1541,2
1542,0
1543,1
1544,0
1545,0
1546,3
1547,1
1548,0
1549,1
1550,0
1551,1
1552,0
1553,2
1554,0
1555,1
1556,0
1557,0
1558,3
1559,2
1560,3
1561,0
1562,2
1563,3
1564,2
1565,3
1566,3
1567,0
1568,1
1569,0
1570,0
1571,0
1572,3
1573,3
1574,0
1575,0
1576,1
1577,2
1578,2
1579,2
1580,0
1581,2
1582,0
1583,3
1584,2
1585,0
1586,1
1587,1
1588,3
1589,3
1590,1
1591,3
1592,2
1593,3
1594,3
1595,0
1596,3
1597,0
1598,0
1599,1
1600,2
1601,2
1602,0
1603,1
1604,3
1605,2
1606,0
1607,1
1608,2
1609,1
1610,2
1611,2
1612,2
1613,0
1614,3
1615,1
1616,1
1617,1
1618,0
1619,0
1620,2
1621,1
1622,0
1623,3
1624,0
1625,3
1626,0
1627,2
1628,3
1629,0
1630,0
1631,0
1632,0
1633,3
1634,3
1635,2
1636,2
1637,2
1638,2
1639,0
1640,2
1641,3
1642,3
1643,3
1644,3
1645,3
1646,0
1647,2
1648,2
1649,0
1650,3
1651,3
1652,2
1653,0
1654,3
1655,2
1656,0
1657,3
1658,1
1659,0
1660,1
1661,0
1662,0
1663,2
1664,3
1665,2
1666,0
1667,0
1668,0
1669,1
1670,3
1671,3
1672,3
1673,1
1674,2
1675,1
1676,1
1677,3
1678,2
1679,0
1680,1
1681,1
1682,3
1683,2
1684,3
1685,2
1686,1
1687,3
1688,3
1689,2
1690,0
1691,2
1692,2
1693,1
1694,0
1695,2
1696,0
1697,2
1698,2
1699,0
1700,3
1701,3
1702,2
1703,1
1704,3
1705,1
1706,0
1707,1
1708,3
1709,3
1710,2
1711,0
1712,2
1713,0
1714,0
1715,0
1716,2
1717,1
1718,0
1719,2
1720,2
1721,1
1722,3
1723,2
1724,0
1725,3
1726,2
1727,2
1728,2
1729,0
1730,1
1731,2
1732,0
1733,0
1734,1
1735,3
1736,2
1737,3
1738,0
1739,3
1740,0
1741,3
1742,1
1743,0
1744,0
1745,0
1746,1
1747,3
1748,3
1749,0
1750,2
1751,1
1752,2
1753,2
1754,3
1755,3
1756,3
1757,1
1758,0
1759,3
1760,0
1761,2
1762,3
1763,2
1764,2
1765,0
1766,3
1767,0
1768,2
1769,1
1770,1
1771,1
1772,1
1773,1
1774,2
1775,2
1776,3
1777,0
1778,3
1779,2
1780,1
1781,3
1782,0
1783,3
1784,1
1785,1
1786,1
1787,2
1788,1
1789,0
1790,3
1791,2
1792,0
1793,2
1794,3
1795,2
1796,0
1797,2
1798,0
1799,3
1800,0
1801,1
1802,0
1803,1
1804,1
1805,2
1806,0
1807,3
1808,0
1809,3
1810,1
1811,0
1812,2
1813,3
1814,1
1815,0
1816,0
1817,1
1818,1
1819,3
1820,3
1821,3
1822,0
1823,3
1824,3
1825,0
1826,2
1827,2
1828,2
1829,1
1830,0
1831,1
1832,2
1833,3
1834,3
1835,2
1836,3
1837,0
1838,0
1839,0
1840,2
1841,3
1842,3
1843,1
1844,1
1845,2
1846,2
1847,2
1848,2
1849,1
1850,3
1851,1
1852,0
1853,3
1854,2
1855,0
1856,3
1857,2
1858,2
1859,1
1860,1
1861,0
1862,0
1863,0
1864,3
1865,1
1866,0
1867,1
1868,3
1869,3
1870,3
1871,0
1872,2
1873,1
1874,0
1875,0
1876,2
1877,2
1878,0
1879,3
1880,2
1881,3
1882,2
1883,3
1884,2
1885,0
1886,1
1887,2
1888,3
1889,2
1890,3
1891,2
1892,3
1893,3
1894,2
1895,0
1896,3
1897,1
1898,0
1899,0
1900,1
1901,3
1902,3
1903,3
1904,3
1905,3
1906,3
1907,3
1908,3
1909,3
1910,0
1911,2
1912,0
1913,0
1914,3
1915,1
1916,2
1917,1
1918,2
1919,0
1920,3
1921,2
1922,2
1923,2
1924,3
1925,0
1926,1
1927,3
1928,0
1929,0
1930,3
1931,3
1932,0
1933,1
1934,2
1935,0
1936,0
1937,2
1938,3
1939,1
1940,0
1941,1
1942,0
1943,1
1944,2
1945,3
1946,0
1947,0
1948,3
1949,0
1950,3
1951,3
1952,0
1953,1
1954,2
1955,1
1956,1
1957,3
1958,0
1959,0
1960,1
1961,3
1962,1
1963,0
1964,2
1965,0
1966,3
1967,3
1968,0
1969,2
1970,2
1971,0
1972,2
1973,0
1974,0
1975,0
1976,3
1977,0
1978,0
1979,3
1980,2
1981,3
1982,3
1983,0
1984,2
1985,0
1986,1
1987,0
1988,0
1989,1
1990,0
1991,0
1992,0
1993,1
1994,3
1995,0
1996,3
1997,0
1998,3
1999,0
2000,0
2001,1
2002,3
2003,2
2004,3
2005,3
2006,2
2007,3
2008,0
2009,2
2010,1
2011,2
2012,0
2013,0
2014,3
2015,3
2016,3
2017,1
2018,2
2019,3
2020,3
2021,0
2022,0
2023,1
2024,0
2025,0
2026,1
2027,3
2028,1
2029,1
2030,1
2031,2
2032,3
2033,3
2034,2
2035,3
2036,2
2037,1
2038,0
2039,3
2040,0
2041,2
2042,0
2043,1
2044,1
2045,1
2046,1
2047,3
2048,2
2049,1
2050,0
2051,2
2052,1
2053,1
2054,3
2055,1
2056,0
2057,1
2058,1
2059,1
2060,3
2061,1
2062,3
2063,0
2064,3
2065,1
2066,0
2067,1
2068,2
2069,3
2070,2
2071,0
2072,0
2073,1
2074,3
2075,0
2076,2
2077,1
2078,0
2079,2
2080,3
2081,1
2082,3
2083,2
2084,1
2085,0
2086,1
2087,2
2088,3
2089,3
2090,1
2091,2
2092,2
2093,2
2094,1
2095,2
2096,0
2097,0
2098,3
2099,3
2100,0
2101,3
2102,2
2103,2
2104,0
2105,0
2106,1
2107,0
2108,0
2109,3
2110,2
2111,2
2112,2
2113,3
2114,0
2115,1
2116,1
2117,0
2118,2
2119,3
2120,1
2121,1
2122,1
2123,2
2124,0
2125,3
2126,0
2127,1
2128,1
2129,0
2130,0
2131,0
2132,3
2133,3
2134,1
2135,0
2136,2
2137,2
2138,3
2139,3
2140,3
2141,2
2142,1
2143,3
2144,0
2145,0
2146,3
2147,2
2148,1
2149,1
2150,2
2151,3
2152,0
2153,2
2154,2
2155,0
2156,2
2157,1
2158,2
2159,0
2160,0
2161,1
2162,1
2163,2
2164,0
2165,0
2166,3
2167,2
2168,1
2169,3
2170,0
2171,3
2172,1
2173,0
2174,2
2175,0
2176,0
2177,1
2178,0
2179,1
2180,3
2181,3
2182,0
2183,1
2184,3
2185,0
2186,0
2187,0
2188,2
2189,1
2190,0
2191,3
2192,0
2193,3
2194,3
2195,3
2196,3
2197,1
2198,2
2199,0
2200,2
2201,2
2202,0
2203,1
2204,2
2205,0
2206,1
2207,3
2208,1
2209,3
2210,0
2211,0
2212,3
2213,1
2214,0
2215,0
2216,0
2217,3
2218,0
2219,2
2220,1
2221,0
2222,2
2223,0
2224,0
2225,3
2226,1
2227,0
2228,0
2229,0
2230,3
2231,1
2232,1
2233,0
2234,3
2235,1
2236,2
2237,3
2238,2
2239,0
2240,1
2241,1
2242,3
2243,0
2244,3
2245,2
2246,1
2247,0
2248,0
2249,1
2250,1
2251,3
2252,1
2253,3
2254,2
2255,2
2256,3
2257,2
2258,3
2259,0
2260,0
2261,1
2262,2
2263,0
2264,0
2265,2
2266,1
2267,2
2268,2
2269,1
2270,3
2271,1
2272,0
2273,1
2274,1
2275,0
2276,0
2277,3
2278,2
2279,2
2280,3
2281,1
2282,3
2283,2
2284,1
2285,3
2286,0
2287,0
2288,1
2289,2
2290,2
2291,0
2292,3
2293,3
2294,3
2295,2
2296,2
2297,0
2298,3
2299,3
2300,1
2301,1
2302,1
2303,0
2304,2
2305,0
2306,1
2307,0
2308,3
2309,3
2310,3
2311,0
2312,1
2313,1
2314,0
2315,3
2316,2
2317,0
2318,0
2319,1
2320,1
2321,3
2322,3
2323,0
2324,1
2325,2
2326,3
2327,1
2328,0
2329,3
2330,0
2331,3
2332,0
2333,0
2334,2
2335,3
2336,3
2337,0
2338,1
2339,0
2340,3
2341,3
2342,3
2343,1
2344,2
2345,3
2346,2
2347,3
2348,0
2349,1
2350,1
2351,1
2352,3
2353,2
2354,2
2355,2
2356,0
2357,0
2358,3
2359,0
2360,3
2361,3
2362,0
2363,0
2364,1
2365,3
2366,2
2367,1
2368,0
2369,1
2370,1
2371,1
2372,0
2373,3
2374,3
2375,3
2376,1
2377,2
2378,0
2379,3
2380,3
2381,1
2382,2
2383,1
2384,2
2385,2
2386,1
2387,1
2388,0
2389,0
2390,1
2391,2
2392,1
2393,0
2394,3
2395,2
2396,3
2397,3
2398,2
2399,1
2400,0
2401,0
2402,0
2403,1
2404,1
2405,0
2406,3
2407,2
2408,0
2409,1
2410,1
2411,0
2412,0
2413,3
2414,2
2415,2
2416,0
2417,0
2418,2
2419,2
2420,1
2421,3
2422,0
2423,0
2424,1
2425,2
2426,0
2427,2
2428,0
2429,2
2430,2
2431,0
2432,3
2433,1
2434,3
2435,0
2436,0
2437,2
2438,0
2439,0
2440,2
2441,2
2442,3
2443,0
2444,2
2445,2
2446,3
2447,2
2448,0
2449,1
2450,0
2451,3
2452,1
2453,0
2454,2
2455,3
2456,2
2457,1
2458,0
2459,0
2460,3
2461,3
2462,0
2463,1
2464,0
2465,2
2466,1
2467,2
2468,3
2469,1
2470,3
2471,3
2472,3
2473,3
2474,0
2475,1
2476,2
2477,0
2478,2
2479,2
2480,1
2481,2
2482,0
2483,2
2484,0
2485,0
2486,2
2487,1
2488,0
2489,0
2490,1
2491,1
2492,2
2493,0
2494,3
2495,3
2496,2
2497,2
2498,0
2499,2
2500,1
2501,3
2502,0
2503,3
2504,2
2505,2
2506,3
2507,1
2508,3
2509,0
2510,0
2511,3
2512,1
2513,2
2514,0
2515,1
2516,0
2517,0
2518,0
2519,1
2520,0
2521,3
2522,1
2523,0
2524,2
2525,0
2526,0
2527,3
2528,2
2529,2
2530,1
2531,1
2532,2
2533,0
2534,1
2535,1
2536,2
2537,3
2538,0
2539,2
2540,2
2541,0
2542,3
2543,0
2544,0
2545,2
2546,3
2547,1
2548,3
2549,0
2550,0
2551,3
2552,1
2553,0
2554,1
2555,1
2556,2
2557,1
2558,0
2559,1
2560,0
2561,0
2562,3
2563,1
2564,3
2565,1
2566,1
2567,2
2568,3
2569,1
2570,2
2571,3
2572,0
2573,3
2574,2
2575,0
2576,2
2577,1
2578,3
2579,1
2580,1
2581,1
2582,3
2583,1
2584,1
2585,3
2586,0
2587,0
2588,1
2589,2
2590,1
2591,0
2592,1
2593,0
2594,3
2595,2
2596,2
2597,0
2598,1
2599,1
2600,3
2601,1
2602,0
2603,3
2604,3
2605,2
2606,0
2607,0
2608,2
2609,0
2610,3
2611,1
2612,0
2613,3
2614,0
2615,3
2616,3
2617,3
2618,3
2619,1
2620,0
2621,0
2622,0
2623,0
2624,1
2625,0
2626,0
2627,3
2628,1
2629,0
2630,2
2631,1
2632,1
2633,0
2634,2
2635,1
2636,2
2637,2
2638,1
2639,2
2640,2
2641,0
2642,3
2643,3
2644,1
2645,2
2646,3
2647,0
2648,3
2649,0
2650,0
2651,2
2652,1
2653,2
2654,1
2655,3
2656,0
2657,3
2658,0
2659,2
2660,2
2661,1
2662,2
2663,1
2664,3
2665,0
2666,2
2667,2
2668,2
2669,1
2670,2
2671,3
2672,3
2673,0
2674,3
2675,0
2676,0
2677,3
2678,2
2679,2
2680,0
2681,0
2682,2
2683,3
2684,1
2685,3
2686,1
2687,3
2688,2
2689,1
2690,1
2691,0
2692,2
2693,0
2694,0
2695,0
2696,2
2697,2
2698,0
2699,2
2700,0
2701,1
2702,1
2703,2
2704,3
2705,0
2706,2
2707,0
2708,0
2709,3
2710,0
2711,3
2712,3
2713,3
2714,3
2715,3
2716,2
2717,3
2718,3
2719,0
2720,2
2721,2
2722,3
2723,2
2724,0
2725,1
2726,0
2727,3
2728,3
2729,0
2730,1
2731,2
2732,3
2733,3
2734,3
2735,0
2736,1
2737,1
2738,3
2739,0
2740,0
2741,0
2742,3
2743,3
2744,3
2745,2
2746,3
2747,2
2748,0
2749,3
2750,0
2751,3
2752,1
2753,3
2754,3
2755,3
2756,2
2757,0
2758,0
2759,0
2760,1
2761,3
2762,2
2763,1
2764,2
2765,1
2766,1
2767,2
2768,1
2769,1
2770,1
2771,3
2772,1
2773,2
2774,3
2775,3
2776,2
2777,0
2778,0
2779,3
2780,1
2781,3
2782,3
2783,0
2784,0
2785,2
2786,3
2787,2
2788,2
2789,0
2790,2
2791,0
2792,3
2793,3
2794,2
2795,2
2796,3
2797,0
2798,0
2799,1
2800,3
2801,1
2802,2
2803,1
2804,1
2805,2
2806,2
2807,3
2808,1
2809,3
2810,2
2811,3
2812,3
2813,3
2814,0
2815,2
2816,1
2817,0
2818,3
2819,0
2820,3
2821,2
2822,2
2823,2
2824,3
2825,1
2826,1
2827,3
2828,1
2829,0
2830,2
2831,0
2832,1
2833,0
2834,2
2835,2
2836,1
2837,0
2838,1
2839,3
2840,0
2841,3
2842,1
2843,2
2844,2
2845,0
2846,0
2847,0
2848,1
2849,2
2850,0
2851,2
2852,1
2853,2
2854,3
2855,0
2856,3
2857,0
2858,3
2859,3
2860,1
2861,2
2862,1
2863,0
2864,0
2865,2
2866,3
2867,0
2868,3
2869,2
2870,1
2871,2
2872,3
2873,3
2874,0
2875,1
2876,3
2877,0
2878,0
2879,1
2880,2
2881,1
2882,2
2883,0
2884,2
2885,0
2886,1
2887,2
2888,2
2889,1
2890,2
2891,0
2892,3
2893,0
2894,3
2895,2
2896,2
2897,1
2898,0
2899,2
2900,1
2901,1
2902,1
2903,2
2904,2
2905,2
2906,1
2907,0
2908,3
2909,0
2910,2
2911,0
2912,3
2913,1
2914,0
2915,0
2916,3
2917,3
2918,1
2919,3
2920,1
2921,1
2922,1
2923,3
2924,3
2925,0
2926,2
2927,0
2928,2
2929,3
2930,3
2931,2
2932,0
2933,3
2934,2
2935,0
2936,3
2937,3
2938,2
2939,0
2940,1
2941,2
2942,1
2943,1
2944,3
2945,2
2946,3
2947,0
2948,0
2949,3
2950,0
2951,3
2952,1
2953,3
2954,3
2955,3
2956,3
2957,1
2958,1
2959,2
2960,0
2961,3
2962,1
2963,1
2964,3
2965,1
2966,1
2967,2
2968,0
2969,0
2970,0
2971,1
2972,3
2973,1
2974,0
2975,2
2976,1
2977,2
2978,2
2979,2
2980,2
2981,2
2982,1
2983,3
2984,2
2985,1
2986,1
2987,0
2988,2
2989,2
2990,3
2991,0
2992,1
2993,1
2994,0
2995,1
2996,3
2997,0
